no-framework: 2002.75:   357288: 0.000312: 1
tipsy-0.10: 1149.66:   386832: 0.000585: 18
fatfree-3.5: 620.23:   455712: 0.001992: 9
slim-2.6: 1148.00:   506936: 0.000839: 24
ci-3.0: 114.68:   398920: 0.037701: 26
nofuss-1.2: 447.11:   695808: 0.002700: 6
slim-3.0: 863.84:   606016: 0.000602: 56
lumen-5.1: 442.27:   689360: 0.005848: 27
ze-1.0: 366.28:   686376: 0.005012: 64
radar-1.0-dev: 382.59:   651376: 0.002490: 73
yii-2.0: 466.63:  1044888: 0.002134: 49
silex-1.3: 540.76:   665320: 0.000726: 58
cygnite-1.3: 148.47:   668760: 0.016897: 70
fuel-1.8-dev: 63.19:   651200: 0.067138: 54
phpixie-3.2: 101.25:  1022112: 0.010456: 159
aura-2.0: 179.28:   770104: 0.007434: 68
cake-3.1: 199.17:   867160: 0.015056: 83
symfony-2.7: 81.19:  2063144: 0.007208: 103
zf-2.5: 59.44:  1766080: 0.018493: 209
